price,bread,hotcake,milk_or_sour_milk,cheese_cottage_cheese,others,week_day_0,week_day_1,week_day_2,week_day_3,week_day_4
8.94,0,1,0,0,0,0,0,0,1,0
5.99,0,1,0,0,0,0,0,0,1,0
6.0,0,1,0,0,0,0,0,0,1,0
5.98,0,1,0,0,0,0,0,0,1,0
12.9,0,1,0,0,0,0,0,0,1,0
6.0,0,1,0,0,0,0,0,0,1,0
6.0,0,1,0,0,0,0,0,0,1,0
5.99,0,1,0,0,0,0,0,0,1,0
5.95,0,1,0,0,0,0,0,0,1,0
7.0,0,1,0,0,0,0,0,0,1,0
6.96,0,1,0,0,0,0,0,0,1,0
5.99,0,1,0,0,0,0,0,0,1,0
8.98,0,1,0,0,0,0,0,0,1,0
29.73,0,0,0,1,0,0,0,0,1,0
7.0,1,0,0,0,0,0,0,0,1,0
5.98,0,1,0,0,0,0,0,0,1,0
9.0,0,1,0,0,0,0,0,0,1,0
31.98,0,0,0,1,0,0,0,0,1,0
5.28,0,0,1,0,0,0,0,0,1,0
6.34,0,1,0,0,0,0,0,0,1,0
3.81,0,1,0,0,0,0,0,0,1,0
8.0,0,1,0,0,0,0,0,0,1,0
7.02,0,0,1,0,0,0,0,0,1,0
19.6,0,0,0,0,1,0,0,0,1,0
13.25,0,0,0,0,1,0,0,0,1,0
10.2,0,0,1,0,0,0,0,0,1,0
8.0,0,1,0,0,0,0,0,0,1,0
4.94,0,1,0,0,0,0,0,0,1,0
6.26,0,0,0,0,1,0,0,0,1,0
10.98,0,0,0,0,1,0,0,0,1,0
12.12,0,0,0,0,1,0,0,0,1,0
13.7,0,0,0,0,1,0,0,0,1,0
21.97,0,0,0,0,1,0,0,0,1,0
7.13,0,0,1,0,0,0,0,0,1,0
6.48,0,0,1,0,0,0,0,0,1,0
5.09,0,0,0,0,1,0,0,0,1,0
104.64,0,0,0,1,0,0,0,0,1,0
35.04,0,0,0,1,0,0,0,0,1,0
150.84,0,0,0,1,0,0,0,0,1,0
68.4,0,0,0,1,0,0,0,0,1,0
89.69,0,0,0,1,0,0,0,0,1,0
107.6,0,0,0,1,0,0,0,0,1,0
7.95,0,0,0,1,0,0,0,0,1,0
9.01,0,0,0,1,0,0,0,0,1,0
99.76,0,0,0,1,0,0,0,0,1,0
84.39,0,0,0,1,0,0,0,0,1,0
99.79,0,0,0,1,0,0,0,0,1,0
119.86,0,0,0,1,0,0,0,0,1,0
30.58,0,0,0,1,0,0,0,0,1,0
18.67,0,0,0,1,0,0,0,0,1,0
29.27,0,0,0,1,0,0,0,0,1,0
22.21,0,0,0,1,0,0,0,0,1,0
42.53,0,0,0,1,0,0,0,0,1,0
5.41,0,0,0,1,0,0,0,0,1,0
18.64,0,0,0,1,0,0,0,0,1,0
17.16,0,0,0,1,0,0,0,0,1,0
17.93,0,0,0,1,0,0,0,0,1,0
24.17,0,0,0,1,0,0,0,0,1,0
9.73,0,0,0,1,0,0,0,0,1,0
4.43,0,0,0,1,0,0,0,0,1,0
11.48,0,0,0,1,0,0,0,0,1,0
7.33,1,0,0,0,0,0,0,0,1,0
3.84,1,0,0,0,0,0,0,0,1,0
6.58,1,0,0,0,0,0,0,0,1,0
3.8,1,0,0,0,0,0,0,0,1,0
5.94,1,0,0,0,0,0,0,0,1,0
4.18,1,0,0,0,0,0,0,0,1,0
4.27,1,0,0,0,0,0,0,0,1,0
4.94,1,0,0,0,0,0,0,0,1,0
4.18,1,0,0,0,0,0,0,0,1,0
9.97,1,0,0,0,0,0,0,0,1,0
10.96,1,0,0,0,0,0,0,0,1,0
10.0,1,0,0,0,0,0,0,0,1,0
10.95,1,0,0,0,0,0,0,0,1,0
9.93,1,0,0,0,0,0,0,0,1,0
2.98,1,0,0,0,0,0,0,0,1,0
6.5,1,0,0,0,0,0,0,0,1,0
8.42,1,0,0,0,0,0,0,0,1,0
3.07,1,0,0,0,0,0,0,0,1,0
5.06,1,0,0,0,0,0,0,0,1,0
6.98,0,1,0,0,0,0,0,0,1,0
2.47,0,0,1,0,0,0,0,0,0,1
3.86,1,0,0,0,0,0,0,0,0,1
5.99,1,0,0,0,0,0,0,0,0,1
4.7,1,0,0,0,0,0,0,0,0,1
7.68,1,0,0,0,0,0,0,0,0,1
5.27,1,0,0,0,0,0,0,0,0,1
4.74,1,0,0,0,0,0,0,0,0,1
6.36,1,0,0,0,0,0,0,0,0,1
4.37,1,0,0,0,0,0,0,0,0,1
6.39,1,0,0,0,0,0,0,0,0,1
5.91,1,0,0,0,0,0,0,0,0,1
12.0,0,1,0,0,0,0,0,0,0,1
2.95,1,0,0,0,0,0,0,0,0,1
6.0,1,0,0,0,0,0,0,0,0,1
4.47,1,0,0,0,0,0,0,0,0,1
7.44,1,0,0,0,0,0,0,0,0,1
8.0,0,1,0,0,0,0,0,0,0,1
6.0,0,1,0,0,0,0,0,0,0,1
13.09,0,0,1,0,0,0,0,0,0,1
9.25,0,0,1,0,0,0,0,0,0,1
14.89,0,0,1,0,0,0,0,0,0,1
8.32,0,0,1,0,0,0,0,0,0,1
8.38,0,0,1,0,0,0,0,0,0,1
8.37,0,0,1,0,0,0,0,0,0,1
7.48,0,0,1,0,0,0,0,0,0,1
9.19,0,0,1,0,0,0,0,0,0,1
5.72,0,0,1,0,0,0,0,0,0,1
6.32,0,0,1,0,0,0,0,0,0,1
8.28,0,0,1,0,0,0,0,0,0,1
9.0,1,0,0,0,0,0,0,0,0,1
8.07,0,0,0,0,1,0,0,0,0,1
24.8,0,0,0,0,1,0,0,0,0,1
18.15,0,0,0,0,1,0,0,0,0,1
10.73,0,0,0,0,1,0,0,0,0,1
29.98,0,0,0,0,1,0,0,0,0,1
30.93,0,0,0,0,1,0,0,0,0,1
22.97,0,0,0,0,1,0,0,0,0,1
46.82,0,0,0,0,1,0,0,0,0,1
5.55,0,0,1,0,0,0,0,0,0,1
9.61,0,0,1,0,0,0,0,0,0,1
8.62,0,0,1,0,0,0,0,0,0,1
7.01,0,0,1,0,0,0,0,0,0,1
4.85,0,0,1,0,0,0,0,0,0,1
7.44,0,0,1,0,0,0,0,0,0,1
4.07,0,0,1,0,0,0,0,0,0,1
4.88,0,0,1,0,0,0,0,0,0,1
6.32,0,0,1,0,0,0,0,0,0,1
8.94,0,1,0,0,0,0,0,0,0,1
5.98,0,1,0,0,0,0,0,0,0,1
